num_filters,kernel_size,accuracy,roc_auc,pr_auc,final_train_loss,final_test_loss
2,3,accuracy,roc_auc,pr_auc,0.6216572681441903,0.7689781486988068
2,6,accuracy,roc_auc,pr_auc,0.6227898858487606,0.6985645890235901
2,10,accuracy,roc_auc,pr_auc,0.6275548487901688,0.7132701575756073
2,15,accuracy,roc_auc,pr_auc,0.6175101194530725,0.7599986642599106
2,20,accuracy,roc_auc,pr_auc,0.60324233956635,0.7277376651763916
4,3,accuracy,roc_auc,pr_auc,0.5747845321893692,0.7574230879545212
4,6,accuracy,roc_auc,pr_auc,0.5016286903992295,0.7240214943885803
4,10,accuracy,roc_auc,pr_auc,0.5654782606288791,0.7579245418310165
4,15,accuracy,roc_auc,pr_auc,0.550458911806345,0.7177343219518661
4,20,accuracy,roc_auc,pr_auc,0.5724492771551013,0.8037250638008118
8,3,accuracy,roc_auc,pr_auc,0.4715691767632961,0.7630549520254135
8,6,accuracy,roc_auc,pr_auc,0.46193265449255705,0.7578435242176056
8,10,accuracy,roc_auc,pr_auc,0.49441486317664385,0.8187343329191208
8,15,accuracy,roc_auc,pr_auc,0.4829176291823387,0.805830329656601
8,20,accuracy,roc_auc,pr_auc,0.4528740607202053,0.9109995365142822
16,3,accuracy,roc_auc,pr_auc,0.42129287496209145,0.8466480821371078
16,6,accuracy,roc_auc,pr_auc,0.4102785522118211,0.8805109262466431
16,10,accuracy,roc_auc,pr_auc,0.37405432341620326,0.8419102728366852
16,15,accuracy,roc_auc,pr_auc,0.3686677813529968,0.8691882342100143
16,20,accuracy,roc_auc,pr_auc,0.34737935848534107,0.8575190603733063
24,3,accuracy,roc_auc,pr_auc,0.348527061752975,0.9552016407251358
24,6,accuracy,roc_auc,pr_auc,0.3173570488579571,0.8907633721828461
24,10,accuracy,roc_auc,pr_auc,0.3305717259645462,0.9364498555660248
24,15,accuracy,roc_auc,pr_auc,0.32189463591203094,0.9791681915521622
24,20,accuracy,roc_auc,pr_auc,0.3088582456111908,1.0396774411201477
